trade_id,entry_date,exit_date,duration_bars,duration_hours,entry_price,exit_price,size,pnl,pnl_comm,pnl_percent,is_winner,close_reason
1,2025-08-08 09:00:00,2025-08-12 05:00:00,30,15.0,300.5,310.0,66,627.0,627.0,3.1613976705490847,True,
2,2025-08-12 09:30:00,2025-08-26 04:30:00,173,86.5,310.95001220703125,368.63436460494995,64,3691.798553466797,3691.798553466797,18.55100502762236,True,
3,2025-08-26 09:00:00,2025-08-28 10:30:00,41,20.5,373.54998779296875,375.8999938964844,53,124.55032348632812,124.55032348632812,0.6291008379896027,True,
4,2025-08-29 08:30:00,2025-09-02 08:00:00,18,9.0,379.5,374.54998779296875,52,-257.400634765625,-257.400634765625,-1.3043510426959817,False,
5,2025-09-08 12:30:00,2025-09-16 12:30:00,114,57.0,384.20001220703125,412.42212677001953,52,1467.5499572753906,1467.5499572753906,7.345682890759623,True,
6,2025-09-19 07:30:00,2025-09-24 11:00:00,64,32.0,374.3500061035156,382.3500061035156,53,424.0,424.0,2.137037496878745,True,
7,2025-09-25 12:00:00,2025-09-29 12:30:00,39,19.5,371.95001220703125,371.25,53,-37.10064697265625,-37.10064697265625,-0.18820061407650013,False,
8,2025-09-30 09:00:00,2025-10-07 06:00:00,87,43.5,377.0,377.25,53,13.25,13.25,0.0663129973474801,True,
9,2025-10-07 10:00:00,2025-10-08 08:00:00,15,7.5,373.6000061035156,367.5500183105469,53,-320.64935302734375,-320.64935302734375,-1.6193757211268467,False,
10,2025-10-09 06:30:00,2025-10-09 09:30:00,6,3.0,384.20001220703125,379.6499938964844,52,-236.6009521484375,-236.6009521484375,-1.18428374960463,False,
11,2025-10-10 11:30:00,2025-10-13 07:00:00,10,5.0,371.54998779296875,361.14996337890625,53,-551.2012939453125,-551.2012939453125,-2.799091577378141,False,
12,2025-10-14 07:00:00,2025-10-15 11:30:00,28,14.0,395.45001220703125,401.3500061035156,50,294.99969482421875,294.99969482421875,1.491969582591777,True,
13,2025-10-16 07:30:00,2025-10-23 12:00:00,103,51.5,397.25,418.7550048828125,50,1075.250244140625,1075.250244140625,5.413468818832599,True,
